No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Setup,Wrap app with MantineProvider,MantineProvider is required at root for all components to work,Wrap entire app with MantineProvider and pass theme,Use Mantine components without provider,"<MantineProvider theme={theme}><App/></MantineProvider>","<App/> without MantineProvider",High,https://mantine.dev/theming/mantine-provider/
2,Setup,Configure PostCSS preset,Use postcss-preset-mantine for rem/em conversion and mixins,Add postcss-preset-mantine to postcss.config,"Manual rem calculations or raw CSS","postcssPresetMantine() in postcss.config.cjs","No PostCSS preset configured",Medium,https://mantine.dev/styles/postcss-preset/
3,Setup,Import core styles,Import Mantine CSS in app entry point,Import @mantine/core/styles.css before component styles,Skip core styles import,"import '@mantine/core/styles.css'","No style import",High,https://mantine.dev/getting-started/
4,Setup,Import package styles separately,Each Mantine package has its own styles that must be imported,Import styles for dates notifications etc separately,Assume core styles cover all packages,"import '@mantine/dates/styles.css'; import '@mantine/notifications/styles.css'","Only import '@mantine/core/styles.css'",High,https://mantine.dev/getting-started/
5,Theme,Create custom theme with createTheme,Use createTheme helper for type-safe theme configuration,createTheme for overrides and pass to MantineProvider,Inline theme object without createTheme,"const theme = createTheme({ primaryColor: 'blue' })","<MantineProvider theme={{ primaryColor: 'blue' }}>",Medium,https://mantine.dev/theming/theme-object/
6,Theme,Define custom colors,Add custom color arrays with 10 shades (0-9) to theme,Use virtualColor or full 10-shade arrays for custom colors,Use arbitrary hex values directly in components,"colors: { brand: ['#f0f0ff', ..., '#1a1a5e'] }","<Button color='#3b82f6'>",Medium,https://mantine.dev/theming/colors/
7,Theme,Use CSS variables for theming,Mantine generates CSS variables automatically from theme,Reference with var(--mantine-color-*) in custom CSS,Hardcode color values in custom CSS,"color: var(--mantine-color-blue-6)","color: #228be6",Medium,https://mantine.dev/styles/css-variables/
8,Theme,Configure default component props,Use theme.components to set default props globally,Set default variant size radius globally via theme,Repeat same props on every component instance,"components: { Button: { defaultProps: { radius: 'md' } } }","<Button radius='md'> on every button",Medium,https://mantine.dev/theming/default-props/
9,Theme,Support color schemes,Use useMantineColorScheme for dark/light mode,useMantineColorScheme hook for toggling,Custom state or CSS for dark mode,"const { colorScheme, toggleColorScheme } = useMantineColorScheme()","const [dark, setDark] = useState(false)",High,https://mantine.dev/theming/color-schemes/
10,Theme,Use light/dark mixin in CSS modules,PostCSS preset provides light-dark mixin,Use light-dark() for mode-specific values in CSS modules,Duplicate styles for each color scheme,"color: light-dark(var(--mantine-color-black), var(--mantine-color-white))","@media (prefers-color-scheme: dark) { ... }",Medium,https://mantine.dev/styles/postcss-preset/#light-dark-function
11,Styling,Prefer CSS Modules for custom styles,Mantine recommends CSS Modules for component styling,Use .module.css files for component-specific styles,Inline styles or global CSS for component styling,"import classes from './Component.module.css'","<Box style={{ padding: 20 }}>",Medium,https://mantine.dev/styles/css-modules/
12,Styling,Use style props for simple styling,Mantine components accept padding margin and other style props,Use p m mt mb etc for quick spacing,CSS for simple spacing adjustments,"<Box p='md' mt='lg'>","<Box className='p-4 mt-6'>",Low,https://mantine.dev/styles/style-props/
13,Styling,Use classNames prop for nested elements,Target inner elements with classNames prop and CSS Modules,classNames for styling sub-elements of components,Override styles with !important or wrappers,"<TextInput classNames={{ input: classes.input, label: classes.label }}/>","<div className='my-wrapper'><TextInput/></div>",Medium,https://mantine.dev/styles/styles-api/
14,Styling,Use rem function for consistent sizing,Use rem() helper for consistent sizing across components,rem() for custom sizes in theme and styles,Raw pixel values,rem(16) or rem('16px'),16 or '16px',Low,https://mantine.dev/styles/rem/
15,Components,Use Button variants correctly,Choose variant based on action importance,variant='filled' for primary actions variant='outline' for secondary,Same variant for all buttons,"<Button variant='filled'>Save</Button><Button variant='outline'>Cancel</Button>","<Button>Save</Button><Button>Cancel</Button>",Medium,https://mantine.dev/core/button/
16,Components,Use Group and Stack for layout,Group for horizontal and Stack for vertical flex layouts,Group for buttons/actions Stack for form fields,Manual flexbox with Box or div,"<Group><Button>A</Button><Button>B</Button></Group>","<div style={{ display: 'flex' }}><Button>A</Button></div>",Medium,https://mantine.dev/core/group/
17,Components,Use AppShell for page layout,AppShell provides responsive layout with header navbar aside footer,AppShell for main application layout,Custom layout with absolute/fixed positioning,"<AppShell header={{ height: 60 }} navbar={{ width: 300 }}><AppShell.Header/><AppShell.Navbar/><AppShell.Main/></AppShell>","<div className='fixed top-0'><nav className='w-64 fixed'>",High,https://mantine.dev/core/app-shell/
18,Components,Use Loader for loading states,Mantine Loader component with size and type props,Loader component or loading prop on components,Custom spinner implementations,"<Button loading={isLoading}>Submit</Button>","<Button>{isLoading ? <Spinner/> : 'Submit'}</Button>",Medium,https://mantine.dev/core/loader/
19,Components,Use Modal for dialogs,Modal component with proper title and overlay,Modal with opened and onClose props,Custom dialog implementations,"<Modal opened={opened} onClose={close} title='Confirm'>{content}</Modal>","<div className={`overlay ${show ? 'visible' : ''}`}>",High,https://mantine.dev/core/modal/
20,Components,Use Drawer for side panels,Drawer for slide-out content panels,Drawer with position prop for direction,Custom sidebar with CSS transitions,"<Drawer opened={opened} onClose={close} position='right'>","<div className={`fixed right-0 transform ${open ? '' : 'translate-x-full'}`}>",Medium,https://mantine.dev/core/drawer/
21,Components,Use Tabs for content switching,Tabs component with proper value and onChange,Tabs for related content sections,Custom tab implementations,"<Tabs value={active} onChange={setActive}><Tabs.List><Tabs.Tab value='first'>First</Tabs.Tab></Tabs.List><Tabs.Panel value='first'>Content</Tabs.Panel></Tabs>","<div onClick={() => setTab(1)}>Tab 1</div>",Medium,https://mantine.dev/core/tabs/
22,Components,Use Table for data display,Mantine Table component with proper structure,Table with striped highlightOnHover for data,HTML table or div-based grids for tabular data,"<Table striped highlightOnHover><Table.Thead><Table.Tr><Table.Th>Name</Table.Th></Table.Tr></Table.Thead><Table.Tbody>{rows}</Table.Tbody></Table>","<table><tr><td>",Medium,https://mantine.dev/core/table/
23,Components,Use Tooltip for hints,Tooltip for additional context on hover,Tooltip wrapping icon buttons and truncated text,Title attribute for tooltips,"<Tooltip label='Delete item'><ActionIcon><IconTrash/></ActionIcon></Tooltip>","<ActionIcon title='Delete'>",Medium,https://mantine.dev/core/tooltip/
24,Components,Use ActionIcon for icon-only buttons,ActionIcon for icon buttons with proper accessibility,ActionIcon with aria-label for accessibility,Button with only an icon inside,"<ActionIcon variant='subtle' aria-label='Settings'><IconSettings size={18}/></ActionIcon>","<Button><IconSettings/></Button>",Medium,https://mantine.dev/core/action-icon/
